age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,study_hours_bin
-1.5204424584331528,1,6,-0.5318317935804424,1.3240863318545657,1,0.2259985646742652,2,0,low,hard,58.9,Medium
1.106066841252714,2,5,-0.2762274732828373,-0.30189887155899536,1,-1.3905863042403674,0,3,medium,moderate,54.8,Medium
0.6683152913050695,1,1,1.6776292801785162,0.39247203381334367,1,0.8610854774621562,2,0,high,moderate,90.3,High
-0.20718780859021937,2,6,-1.4459421593905213,-1.2508724422345254,1,-0.6977642175626678,0,3,low,moderate,29.7,Low
-0.20718780859021937,0,6,-1.350632073855821,0.09157797481866325,1,1.6116427380296645,2,0,low,moderate,43.7,Low
1.106066841252714,1,2,-0.22857243051548726,-0.2671803262903779,1,-1.6215269997996002,1,2,low,moderate,58.2,Medium
-1.5204424584331528,0,2,-1.1513473495559934,-0.05886905467867654,1,0.2259985646742652,0,3,high,hard,53.7,Low
0.6683152913050695,1,1,0.6378828925272418,-1.0946389885257488,1,0.687879955792731,2,4,low,moderate,47.3,High
-1.0826909084855083,2,5,-0.4841767508130922,1.27200851395164,1,-0.23588282644420155,2,4,low,easy,44.9,Medium
-1.5204424584331528,1,4,1.1967465758898015,-1.4591837138462271,1,1.6116427380296645,0,1,high,moderate,77.7,High
0.2305637413574251,0,3,0.8588289999031375,0.9769008791683962,1,-0.6977642175626678,0,4,medium,easy,63.2,High
1.5438183912003585,1,0,-0.10293640867429155,1.538184027677703,0,-1.6792621736894089,2,3,medium,easy,53.5,Medium
0.6683152913050695,0,3,1.192414299274588,-1.3666009264632486,1,0.6301447819029229,1,4,medium,hard,63.9,High
1.106066841252714,0,4,-1.3852902867775303,-0.2324617810217613,1,0.05279304300483992,2,3,medium,moderate,34.1,Low
0.6683152913050695,1,2,0.2783039334645093,0.2941028222189288,1,0.39920408634369,1,1,high,moderate,83.5,Medium
1.106066841252714,2,4,0.36061718915356833,1.7002039055979161,1,0.1682633907844566,0,0,high,moderate,98.5,Medium
0.2305637413574251,1,1,-0.8827461994127477,1.2662220897402041,1,0.7456151296825401,0,4,medium,moderate,70.3,Low
-1.0826909084855083,1,5,-1.5629136280012899,-0.2961124473475587,1,-0.12041247866458486,2,4,medium,moderate,32.3,Low
1.106066841252714,0,1,0.11800969870160441,1.6249803908492453,1,-1.5060566520199836,0,2,low,moderate,56.2,Medium
-0.20718780859021937,1,2,0.04436099624297249,-0.5854336579193671,1,-1.5637918259097923,2,0,high,moderate,49.3,Medium
0.2305637413574251,0,3,0.5295759771469007,-0.5565015368621863,1,-1.6215269997996002,2,0,medium,easy,68.1,Medium
-0.6449393585378639,2,3,-0.9997176680235159,0.022140884281430007,1,1.6116427380296645,1,2,low,easy,52.1,Low
-1.0826909084855083,1,3,-1.1123568600190707,0.9711144549569596,1,1.5539075641398554,0,1,medium,easy,47.1,Low
1.5438183912003585,0,6,1.6516356204872347,-1.0714932916800044,1,-0.4090883481136263,1,4,low,easy,84.8,High
1.106066841252714,1,4,-1.3419675206253938,0.838026698093928,1,0.5724096080131148,0,0,low,moderate,68.9,Low
0.6683152913050695,1,0,1.6906261100241573,-1.7022135307265456,1,-1.5637918259097923,1,1,low,moderate,76.3,High
-0.20718780859021937,1,5,0.7591866377532236,-0.8284634747996855,0,0.687879955792731,0,4,low,easy,71.6,High
1.106066841252714,1,3,0.4429304448426277,1.6481260876949904,1,-0.17814765255439297,2,2,high,hard,74.1,Medium
0.2305637413574251,0,1,-0.5578254532717242,0.5429190633106843,1,-0.004942130884968174,1,3,medium,moderate,56.6,Medium
